,mean_log_expr
Stk39,0.11674374885948395
Zkscan8,0.01258592050452019
Chd4,0.2520950434443287
Rcbtb2,0.10149361361157623
Zfp40,0.007598536447328884
Txk,0.23275858905723684
Rai14,0.002747967598128036
Mgat4d,3.7814287375915596e-06
Col3a1,6.230162361649071e-05
Aadacl2fm2,0.00042050652915934976
Nkd1,0.00017347174809014565
Siglec15,0.0001573627363771987
Ttc36,0.0005934679653630821
Spry2,0.016972605719464833
Prickle2,0.00015024017153872954
Cebpz,0.16525342647196453
Metap1,0.044938134132446066
Gp9,5.593932552135878e-05
Sfxn3,0.06555021940351106
Hmgcs1,0.05950942790741734
Sqor,0.009629927763256874
Enpp5,0.008931145531000533
Gm43552,0.000950840811127943
Prss53,3.547422683158426e-05
Sema3f,0.00014173646685467447
Spo11,0.00408677315067059
Lasp1,0.1232951517521986
Dhrs3,0.007882493947237688
Kbtbd11,0.1461010276422756
Ccny,0.128668751189979
Mta1,0.08488004965412893
Ing1,0.10228209397182023
Llgl2,0.018446638158933572
Prkcb,0.1760942368480662
Gon4l,0.04738255298023396
Klhl22,0.016077682546495435
Chst11,0.0361656806549926
Prps2,0.07204777950635517
Bbs2,0.009275364250228145
Robo4,4.086602745517943e-06
Ccr4,0.02020535182353845
Zfp146,0.048154247206235304
Ahcyl2,0.09451425521591512
Cdc20b,0.0037299891714437715
Clip1,0.10474758050370071
Vps54,0.083382020833046
Cep128,0.02316094822260976
St6galnac5,0.0044714640298569915
Hoxa7,0.0009369982945610182
Ccdc122,0.0018550985316595104
Surf6,0.034132197711755505
Adcy6,0.008976006158874833
Ctla4,0.15284709587324255
Slc22a16,2.326476843934048e-05
Dock6,0.00244383454438428
Zeb2,0.041695526415575376
Atcay,0.004251815781456759
Lrrc71,0.0016484684528402303
Atp6v1g3,0.001296860311160253
Orai2,0.0964740830735163
Gprc5b,0.004650765935360909
Pomt1,0.006540722853738108
I830077J02Rik,0.0003116101778943085
Ank3,0.001230502447939909
Flii,0.12823121902772408
Rab4a,0.017115284431397804
Septin8,0.005931092464079779
Robo1,0.0003420064412608088
Ampd1,0.01063003870186577
Odf2l,0.008755103265905182
H1f4,0.16400812075866725
Erc1,0.02423295261523479
Med17,0.058070147658604056
Dcun1d4,0.012372623206388893
Gm12185,0.059100025826170265
Arfgef1,0.08663014879845757
Psmd1,0.07940240465948017
Manba,0.03113867016852632
Thbd,0.0005005140338516186
Inhbc,2.3202985953556665e-05
Ceacam12,1.6360927209705166e-05
Wnt8b,5.928957484968901e-05
Gnl3,0.0703131196098321
Iigp1,0.032991286682992525
Ifi207,0.00047532949429412796
Gm44790,0.0005112818195256232
Rdh12,0.008664187969933153
Spock2,0.012640162456599246
Csrnp2,0.004345497781196359
Ccdc188,3.926575287736806e-06
Wipf2,0.039775216326606966
Mylk3,6.421654208111925e-05
Havcr2,0.015291067085864984
Sycp3,0.0003135066545225133
Rtn4ip1,0.011681532790539398
Ltbp2,3.8322226144931317e-05
Cd200r1,0.057582991828447457
Dchs2,4.1597336282368104e-05
Specc1,0.005518891668041149
Pold1,0.025844888871307613
Zfp933,0.013510671267313146
Rara,0.09451256305267644
Agap3,0.024970646313973936
Tatdn2,0.05526514387261152
Ccl25,0.02364144131102294
Ttll12,0.0240706708230511
Banf2,5.71519775565614e-06
Xrra1,0.001285541892303448
Sbk2,0.0016264491025122071
Gmcl1,0.057655150570646595
Lgals2,0.00046643736085965026
Rcan3,0.028461126480633387
Cacna1b,0.0003211066354378669
Dock7,0.0006799512302043744
Nkain3,7.550775903485993e-05
Traf6,0.06537955436410976
Plxnb1,0.0017858165165808237
Ptger1,0.005955224583343646
Slc46a3,0.015192941518486217
Mtmr7,0.006542268297054501
Gabra4,5.787892472355741e-06
Marf1,0.06634514065912964
Clec4b1,0.00011414523630809263
Kctd9,0.014888782418118834
Bmi1,0.0281830283320934
Slc22a21,0.0011120545191872105
Supt3,0.05402874034365062
Plxnc1,0.024655529428547252
Foxp3,0.05127878593340724
Gtpbp1,0.06593939218615232
Stau2,0.0022500752041837674
Med27,0.05651587042989736
Gapdhs,0.0012211562646171513
Adgre1,0.00029197132833767045
Lypd1,0.00012577237535010426
Unk,0.022626125038057412
Draxin,0.0005976706969892866
Ints9,0.03838004523813058
Sart3,0.0651777722484321
Tmem67,0.003660982026861955
Mroh6,5.813798196039613e-05
Lrrc55,5.6734369314418065e-06
Alkal2,9.92199431537443e-05
Coch,0.0013831920567155258
Asic5,2.5058025336888854e-05
Hipk4,9.302606312386154e-05
F7,1.97426497517647e-05
Pbxip1,0.1097275872130543
Medag,4.21412116080545e-05
Eftud2,0.09584987158545394
Mtmr11,0.0005221593326158142
Gm2237,0.0047403286373518825
Angptl2,0.006562222959991215
Zbtb49,0.009911873754611548
Phactr2,0.04695699762083499
Fgf15,2.0300248472253425e-05
Lpcat4,0.07907871945716108
Setd4,0.041721806998745066
Glul,0.08221422222493836
Tab2,0.1151339230534886
Zfp287,0.02963639077276001
Fmr1nb,0.0002558847785020275
Birc2,0.09128071972942423
Gm3055,0.0016289325325294242
Gsg1l,5.6522576984361756e-05
Flrt1,0.00012286179383819496
Cpox,0.03873246731069815
Zfp503,0.00010128203320900626
Fry,0.0504565581566976
Leng8,0.07782536815979545
Mllt10,0.14957778305372535
Slc44a1,0.013449235682745945
Letm2,0.04397447536677447
Pde1b,0.004668945753228236
Hs6st1,0.022326479167278198
Nfkbid,0.10543811690723028
Tm4sf1,0.00010506585878931859
Man1b1,0.034177181381937774
Pdgfrb,0.0004532155488113768
Ppp1r15a,0.21932697401006285
Nsd2,0.04494132072329517
Gm29394,0.002689080355154222
Sla,0.18147645002630702
Cgn,6.495883544854189e-05
Tarm1,0.00011598323441348945
Slc22a2,0.0010543213845695667
Serac1,0.0048085619428939975
Rpl30,1.9643864778080378
Pacs1,0.11910094730349208
Txndc5,0.06487243163144985
Zbtb32,0.00825667616671724
Prg4,0.003850717122552924
Celf6,2.3551742696067236e-05
Rbms3,0.0017230910908659985
