rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed2:GP12,2,GP12,True
seed2:GP13,2,GP13,True
seed2:GP14,2,GP14,True
seed2:GP15,2,GP15,True
seed2:GP16,2,GP16,True
seed2:GP17,2,GP17,True
seed2:GP18,2,GP18,True
seed2:GP19,2,GP19,True
seed2:GP20,2,GP20,True
seed2:GP21,2,GP21,True
seed2:GP22,2,GP22,True
seed2:GP23,2,GP23,True
seed2:GP24,2,GP24,True
seed2:GP25,2,GP25,True
seed2:GP26,2,GP26,True
seed2:GP27,2,GP27,True
seed2:GP28,2,GP28,True
seed2:GP29,2,GP29,True
seed2:GP30,2,GP30,True
seed2:GP31,2,GP31,True
seed2:GP32,2,GP32,True
seed2:GP33,2,GP33,True
seed2:GP34,2,GP34,True
seed2:GP35,2,GP35,True
seed2:GP36,2,GP36,True
seed2:GP37,2,GP37,True
seed2:GP38,2,GP38,True
seed2:GP39,2,GP39,True
seed2:GP40,2,GP40,True
seed2:GP41,2,GP41,True
seed2:GP42,2,GP42,True
seed2:GP43,2,GP43,True
seed2:GP44,2,GP44,True
seed2:GP45,2,GP45,True
seed2:GP46,2,GP46,True
seed2:GP47,2,GP47,True
seed2:GP48,2,GP48,True
seed2:GP49,2,GP49,True
seed2:GP50,2,GP50,True
seed2:GP51,2,GP51,True
seed2:GP52,2,GP52,True
seed2:GP53,2,GP53,True
seed2:GP54,2,GP54,True
seed2:GP55,2,GP55,True
seed2:GP56,2,GP56,True
seed2:GP57,2,GP57,True
seed2:GP58,2,GP58,True
seed2:GP59,2,GP59,True
seed2:GP60,2,GP60,True
seed2:GP61,2,GP61,True
seed2:GP62,2,GP62,True
seed2:GP63,2,GP63,True
seed2:GP64,2,GP64,True
seed2:GP65,2,GP65,True
seed2:GP66,2,GP66,True
seed2:GP67,2,GP67,True
seed2:GP68,2,GP68,True
seed2:GP69,2,GP69,True
seed2:GP70,2,GP70,True
seed2:GP71,2,GP71,True
seed2:GP72,2,GP72,True
seed2:GP73,2,GP73,True
seed2:GP74,2,GP74,True
