flashier_factor,best_rqvi_gp,best_corr
F76,205,0.04371986698344382
F77,57,0.06406112655203171
F78,205,0.010284497762181193
F79,63,0.04483593786697272
F80,16,0.10889698888190992
F81,63,0.10133065481102455
F82,15,0.009085648210998208
F83,63,0.09197088858605869
F84,33,0.01909500651516469
F85,21,0.048118365303077566
F86,92,0.0059259166343681915
F87,110,0.010064699765979214
F88,139,0.009067723890079359
F89,47,0.04552123750363425
F90,168,0.012747141884298338
F91,48,0.0102900357364936
F92,153,0.0296062197819573
F93,21,0.3599889596161478
F94,47,0.015480967512022055
F95,48,0.007779214095301685
F96,170,0.008676124290543154
F97,214,0.031020548564365258
F98,32,0.06695223879445389
F99,22,0.030151667499398363
F100,22,0.3732745422438942
F101,13,0.11946476232005325
F102,208,0.022196631161719486
F103,86,0.008365718070535407
F104,120,0.009481800842279623
F105,144,0.01297311546905267
F106,47,0.005840298960441292
F107,21,0.23767523242546418
F108,15,0.021057906582237492
F109,25,0.06229214501483928
F110,63,0.1492736315851747
F111,63,0.052053403942888314
F112,63,0.12989724143620401
F113,112,0.009679459824093831
F114,15,0.013456083580649711
F115,109,0.00840582449168112
F116,96,0.009621235764908673
F117,254,0.07349595134609042
F118,5,0.35851693162731907
F119,251,0.17424330757057474
F120,42,0.14724536516983944
F121,59,0.2723791712836012
F122,13,0.20055483412276584
F123,205,0.06851341355219473
F124,205,0.15729663028118757
F125,80,0.045636216319100045
F126,16,0.18106134128561638
F127,16,0.3564138706266163
F128,205,0.10314803276731743
F129,63,0.027279204877089902
F130,63,0.16495137049346728
F131,21,0.02069279275181134
F132,160,0.01469563453486306
F133,205,0.161870956696426
F134,205,0.17473185924530873
F135,30,0.10323424006538158
F136,187,0.011801179858871132
F137,120,0.0074244044539061955
F138,201,0.012951919376937392
F139,187,0.012177009959068405
F140,97,0.010049373670035807
F141,111,0.013741793901726338
F142,201,0.009085554441420748
F143,111,0.009952132160954556
F144,21,0.005169670874606638
F145,47,0.05036166936791849
F146,111,0.012864613897091292
F147,47,0.00883507847835583
F148,47,0.03720202658390474
F149,237,0.12493809336400646
F150,21,0.2669971032382362
F151,32,0.4993134757189452
F152,48,0.1895619631446343
F153,32,0.30552790082274606
F154,214,0.11058612901552095
F155,205,0.029293109203996394
F156,32,0.05045229009326262
F157,225,0.012479552934714434
F158,111,0.008683574764973015
F159,48,0.28789031146381017
F160,109,0.012812187953064847
F161,63,0.2228152260214477
F162,32,0.5209336499486353
F163,59,0.32944536712953376
F164,240,0.01751725112268473
F165,240,0.058348095520278594
F166,63,0.05010022700393962
F167,63,0.010084270311921868
F168,60,0.01134657376174837
F169,127,0.024521287114673964
F170,33,0.14603537475922398
F171,59,0.08903845404933033
F172,28,0.0073028123073311775
F173,245,0.08561692366631406
F174,24,0.2547213992944471
F175,111,0.01158662323250344
F176,3,0.11751819519939458
F177,32,0.20530640836408032
F178,56,0.006798453131189285
F179,174,0.02405165397166656
F180,3,0.10320390649833268
F181,3,0.2302381100572319
F182,5,0.07944621192138582
F183,85,0.0881962505350347
F184,63,0.04307809135755347
F185,63,0.040831622887999894
F186,191,0.026162181124297915
F187,63,0.1122568940991309
F188,214,0.033583210326917745
F189,214,0.056488744022998624
F190,56,0.008355879315050184
F191,221,0.010539776243909808
F192,169,0.07198927839192372
F193,225,0.02507105755226935
F194,109,0.010287413008341632
F195,136,0.009586878660137466
F196,21,0.023893629441411088
F197,21,0.1015513568929316
F198,180,0.0257279629199752
F199,63,0.1276001018224411
