gp_idx,frac_active_cells,n_active_genes,pve
50,0.0150674468662614,4,0.002075035775093572
51,0.0082422784858068,1,0.001391551571475605
52,0.0139107189072155,19,0.008345036709605048
53,0.0068425271902083,0,0.00034158418202529157
54,0.0177107201696744,0,0.0014546943597940469
55,0.0134183599396544,4,0.0014851562522505118
56,0.0165823975356802,2,0.0028749582174455095
57,0.0071928595325114,1,0.0005626892525997383
58,0.0245437789181989,8,0.010743047466672305
59,0.0395812423857948,130,0.14929418816215362
60,0.0234990941857455,59,0.025645829254564524
61,0.0136487586872952,27,0.009430610227291903
62,0.0095299865548128,3,0.0018802302178423456
63,0.0195886277703082,9,0.005952171375725068
64,0.0128518315122363,2,0.0037985421676460652
65,0.0141253369187165,12,0.005964538793932851
66,0.0301128007019271,0,0.0004964188178516805
67,0.010872927200308,5,0.0016925403282012333
68,0.0331300774518529,1,0.0015779360459741317
69,0.0067446866261417,38,0.005452636981818392
70,0.0191372987167105,1,0.0016468531699810086
71,0.0171126302699768,14,0.012355051222664186
72,0.0322100605349038,10,0.006115107952748691
73,0.0293979333547951,17,0.016381471423657756
74,0.0225632965326566,16,0.012784766207364153
75,0.0062696864683343,0,0.0012733583352327882
76,0.0129859677694245,0,0.0024704605756998873
77,0.0106977610291564,1,0.0018272851396481115
78,0.0320601435415759,2,0.0028599994389903235
79,0.0004750001578073,48,0.0006151202112988867
80,0.0078035740211209,6,0.0013727139327279008
81,0.0538470278561554,2,0.0029261981674891012
82,0.0156623806187311,9,0.0052965530860926945
83,0.0378358929687352,34,0.03279790663970002
84,0.0300433654629121,0,0.0011735950634151778
85,0.0043902007940866,14,0.0013892626933998374
86,0.0093627107517311,9,0.002035115195498788
87,0.0189179464843676,4,0.0032970555408508005
88,0.0071171119990405,27,0.004692748803776217
89,0.003863124207018,25,0.002698826367147732
90,0.0205938606624121,2,0.001926619878929211
91,0.0145608852361744,2,0.0033573242175488887
92,0.0440850644800878,1,0.004795530851986216
93,0.0103190233618017,13,0.004682646050594961
94,0.0135477619760006,14,0.005292788016423831
95,0.0058799022856818,49,0.0032487251203292765
96,0.0034023267117364,37,0.0025050373812001724
97,0.0090265810719538,6,0.0012511469489999098
98,0.0183356373208097,0,0.0011578557387161355
99,0.0299202757210218,0,0.00041761729639660253
100,0.0271980987369098,0,0.001116807718791011
101,0.0126214327645956,3,0.001627086077633972
102,0.0249225165855536,17,0.013581650256258732
103,0.0345945297656245,0,0.0015443032925947
104,0.0298098105680433,0,0.0004972349942042172
105,0.0185423649642408,2,0.0018023541866895197
106,0.0051681910857777,15,0.0024767283329746623
107,0.0269314042961476,0,0.0016661552828461166
108,0.0350632176289759,1,0.0028791390419093663
109,0.006436962271416,17,0.0019751790576289026
110,0.0003140366491816,1,2.98260615799418e-05
111,0.009941863768061,2,0.005486758176867899
112,0.0064132911672063,36,0.004952028982671486
113,0.0096246709716514,9,0.0036844649089619033
114,0.0189226807052095,5,0.0026197643364077815
115,0.009938707620833,1,0.0016922592576759901
116,0.0059856332178183,22,0.0036871806943911635
117,0.0215375486835709,0,0.0010590148073840256
118,0.0308844786991623,0,0.002695526695839005
119,0.0353204436280543,4,0.003961404440506867
120,0.0170479292518037,2,0.002649513939704867
121,0.0207627145391078,1,0.0016608514629195734
122,0.0158375467898826,8,0.006847336437609942
123,0.005938291009399,126,0.022037288194801583
124,0.0041408651630781,61,0.004588168869091897
125,0.006866198294418,25,0.004747206692780542
126,0.013236881474047,3,0.003038875263319385
127,0.008941365096799,9,0.0026992098581761635
128,0.0064527430075558,1,0.0024738657480855184
129,0.0073459326730673,7,0.0023288868694728683
130,0.0738854066064473,0,0.003235150394973867
131,0.0058925268745936,7,0.0010819571589879002
132,0.0618510172262515,2,0.00344901362529764
133,0.0013681898233188,37,0.001020832426967855
134,0.0131926954128556,1,0.001144233461015609
135,0.0101438571906502,7,0.0042217458135598235
136,0.0254764204240599,8,0.005403976548485058
137,0.0153388755278656,3,0.003008873250332153
138,0.0151179452219087,4,0.0028398737297206434
139,0.0046048188055876,0,0.0006279832063196751
140,0.0099544883569728,2,0.0032236036777312732
141,0.0054490881890658,1,0.0008290261504186728
142,0.0365860586664646,0,0.002636102611658463
143,7.416945985696341e-05,46,7.957057990551833e-05
144,0.0024854659420152,11,0.0006396398837560635
145,0.0763377330025691,1,0.0032584597378717667
146,0.0114063160818325,3,0.0023216600641361987
147,0.0340879681355375,11,0.01253111883801266
148,0.0486977736537454,0,0.0015328645477670248
149,0.0014565619457016,19,0.0005856057983393075
150,0.0039057321945954,8,0.0010932476615109436
151,0.0123847217224989,3,0.0019642854071052675
152,0.0022266618693228,16,0.0012214629218007568
153,0.0010872927200308,16,0.0005447899511395397
154,0.0195965181383781,0,0.002152626775312806
155,0.0081933582037734,0,0.0011099997790679891
156,0.0572004342858585,1,0.006175403352676984
157,0.0069529923431868,2,0.001745421226268462
158,0.0063738393268569,13,0.002549671967416033
159,0.0022045688387271,59,0.0014342054825300977
160,0.0009768275670523,15,0.0005071079985422446
161,0.0041598020464458,4,0.00090921710519439
162,0.0187569829757418,0,0.0018443470879115
163,0.0472017598676943,0,0.0010348765325853993
164,0.0605017642863004,0,0.004009642615303612
165,0.0071281585143383,4,0.0012147963392815308
166,0.0172136269812714,2,0.0043454448483473285
167,0.0583476938032205,0,0.0020730117309233752
168,0.0048462640685262,0,6.931083294267276e-05
169,0.0089918634524463,3,0.0014593949747041467
