gp_idx,total_loading,mean_loading,frac_active,entropy,f_stat_level1,f_stat_cluster,eta_sq_level1,eta_sq_cluster,gini_cluster,n_strong_genes,max_gene_effect,match_count,mean_corr,group_idx,within_group_pos
94,8363.663767719068,0.013198477108020825,0.013547761976000657,9.043906331587305,939.6138670500542,386.75943508134065,0.011723340248355118,0.06452902079060499,0.7960561974631365,1114,1.0233867,1,0.7475232350532394,23,2
95,3675.358121813229,0.005799985673952994,0.005879902285681822,8.215728299116243,29.911131989485582,71.6050544407171,0.00037747856460572317,0.012610033135198373,0.6393404091384959,874,1.2214519,0,,23,3
96,2092.2309770373527,0.0033016944992099416,0.003402326711736449,7.654344745972839,1142.8944378881722,436.87890568104154,0.014223548953668608,0.07228674603166461,0.8885148365562987,1595,2.325192,0,,24,0
97,5648.49530826083,0.008913741404644633,0.009026581071953844,8.644293933741226,261.5230498013497,202.76005559189935,0.0032908027494223517,0.034901018231669176,0.7286981253992397,602,0.69284916,0,,24,1
98,10822.41324568346,0.017078564782578475,0.018335637320809742,9.31231897835814,53.371615073573466,90.3066409612226,0.0006733505631941307,0.015851277184996345,0.5322904560857711,416,0.3405022,1,0.7359146822138916,24,2
99,15981.831221586062,0.02522050615383387,0.029920275721021836,9.741942544159192,133.61204660550953,106.10913490121577,0.0016839805454642988,0.018573526973321618,0.6195914442544562,81,0.2724408,2,0.8565645221796279,24,3
100,15335.229770276688,0.024200121464762702,0.02719809873690988,9.697318395878508,87.32923295634194,47.98945549163651,0.0011012971320950211,0.008486493742448451,0.4567214940290938,294,0.31071234,1,0.530016006726971,25,0
101,7736.554924239461,0.012208853189033432,0.012621432764595602,8.968809313278435,139.0692300517849,115.1427969031974,0.0017526396566590141,0.020122975021427045,0.5573938206127466,629,0.640815,0,,25,1
102,15000.089766664507,0.023671245868073846,0.024922516585553684,9.6338392682178,3458.61435085561,578.6725946456719,0.041837407417479586,0.09355328330099266,0.8124225782302528,1341,2.0379896,8,0.9100102694260069,25,2
103,19112.651267047844,0.030161170657690337,0.03459452976562451,9.904822542748773,109.29220314178238,65.95067937702316,0.0013778875389052598,0.011625844055347178,0.4937153974475397,233,0.33078492,2,0.6285531754175824,25,3
